rank,candidate_id,score
1,CAND_0000031,274.62
2,CAND_0000038,43.06
3,CAND_0000025,42.2
4,CAND_0000010,42.04
5,CAND_0000021,38.48
6,CAND_0000014,37.3
7,CAND_0000043,31.4
8,CAND_0000015,29.2
9,CAND_0000020,23.4
10,CAND_0000023,22.4
11,CAND_0000001,20.34
12,CAND_0000007,13.7
13,CAND_0000048,13.5
14,CAND_0000018,11.4
15,CAND_0000044,9.5
16,CAND_0000022,8.0
17,CAND_0000026,4.6
18,CAND_0000036,4.6
19,CAND_0000029,4.4
20,CAND_0000016,2.58
21,CAND_0000009,1.5
22,CAND_0000033,0.16
23,CAND_0000011,-0.44
24,CAND_0000013,-1.78
25,CAND_0000004,-3.1
26,CAND_0000027,-4.38
27,CAND_0000039,-4.6
28,CAND_0000045,-4.7
29,CAND_0000024,-4.74
30,CAND_0000030,-5.76
31,CAND_0000042,-11.9
32,CAND_0000050,-13.06
33,CAND_0000019,-15.7
34,CAND_0000047,-15.9
35,CAND_0000046,-17.72
36,CAND_0000034,-18.6
37,CAND_0000006,-23.3
38,CAND_0000032,-24.5
39,CAND_0000037,-26.2
40,CAND_0000002,-30.1
41,CAND_0000049,-30.7
42,CAND_0000028,-32.2
43,CAND_0000017,-43.3
44,CAND_0000012,-44.4
45,CAND_0000035,-46.8
46,CAND_0000041,-48.0
47,CAND_0000040,-54.6
48,CAND_0000003,-62.0
49,CAND_0000008,-63.6
50,CAND_0000005,-69.1
